account_id,customer_id,account_type,open_date,interest_rate,credit_limit,current_balance
200001,100001,credit_card,2019-07-22 20:02:22.832943,16.55,20000.0,7787.18
200002,100002,loan,2020-02-17 20:02:22.834846,8.17,50000.0,28536.18
200003,100002,savings,2024-03-15 20:02:22.835041,,,13092.86
200004,100003,loan,2019-01-26 20:02:22.835584,9.59,100000.0,42830.26
200005,100004,loan,2023-03-07 20:02:22.836086,7.13,50000.0,38173.96
200006,100005,loan,2024-02-10 20:02:22.836543,11.17,50000.0,45464.68
200007,100005,credit_card,2024-03-15 20:02:22.836883,18.96,30000.0,11718.17
200008,100006,savings,2019-03-28 20:02:22.837262,,,48181.6
200009,100006,savings,2021-04-19 20:02:22.837390,,,30677.57
200010,100007,savings,2024-02-16 20:02:22.837733,,,18076.25
200011,100008,savings,2018-05-25 20:02:22.838040,,,8782.78
200012,100008,loan,2020-09-27 20:02:22.838245,9.85,20000.0,8454.82
200013,100008,loan,2020-05-05 20:02:22.838463,7.38,20000.0,12590.41
200014,100009,savings,2019-11-27 20:02:22.838829,,,20592.94
200015,100010,credit_card,2021-10-21 20:02:22.839237,20.04,10000.0,2362.31
200016,100010,savings,2023-01-02 20:02:22.839404,,,40651.78
200017,100010,savings,2020-03-09 20:02:22.839524,,,9059.82
200018,100011,credit_card,2021-06-13 20:02:22.839946,15.06,20000.0,7174.2
200019,100011,savings,2021-08-20 20:02:22.840084,,,40160.75
200020,100012,savings,2022-02-08 20:02:22.840396,,,40941.52
200021,100012,credit_card,2021-11-06 20:02:22.840700,15.02,20000.0,6871.61
200022,100013,savings,2025-01-03 20:02:22.841053,,,41896.81
200023,100014,loan,2019-12-22 20:02:22.842026,9.24,50000.0,41039.68
200024,100015,credit_card,2019-03-18 20:02:22.842603,15.01,30000.0,7953.67
200025,100015,credit_card,2025-06-05 20:02:22.842833,21.12,5000.0,1292.34
200026,100016,credit_card,2020-04-26 20:02:22.843340,15.93,5000.0,2019.44
200027,100017,credit_card,2018-09-11 20:02:22.844303,18.97,5000.0,3464.49
200028,100017,savings,2018-03-15 20:02:22.844715,,,37750.56
200029,100017,credit_card,2023-05-16 20:02:22.846259,21.59,10000.0,2376.06
200030,100018,savings,2024-06-05 20:02:22.846762,,,828.92
200031,100019,credit_card,2024-08-21 20:02:22.847255,15.7,20000.0,17856.1
200032,100019,savings,2025-08-31 20:02:22.847413,,,20083.07
200033,100019,credit_card,2024-01-17 20:02:22.847663,17.34,20000.0,17724.71
200034,100020,credit_card,2019-10-30 20:02:22.850192,19.49,5000.0,3355.72
200035,100020,credit_card,2020-05-07 20:02:22.850695,17.65,5000.0,2105.28
200036,100021,savings,2017-11-17 20:02:22.851565,,,34272.93
200037,100021,loan,2022-07-05 20:02:22.851966,7.77,50000.0,47287.49
200038,100022,savings,2018-07-26 20:02:22.852895,,,24327.67
200039,100022,savings,2022-01-06 20:02:22.853295,,,10594.42
200040,100022,savings,2020-01-28 20:02:22.854654,,,20747.18
200041,100023,credit_card,2022-07-15 20:02:22.855807,17.54,20000.0,6437.0
200042,100024,credit_card,2020-10-26 20:02:22.856550,16.72,30000.0,18297.94
200043,100024,credit_card,2025-11-12 20:02:22.856845,21.87,10000.0,4706.5
200044,100025,credit_card,2025-02-10 20:02:22.857605,18.64,5000.0,1222.57
200045,100025,loan,2019-08-01 20:02:22.857927,11.38,100000.0,52119.61
200046,100025,savings,2019-09-04 20:02:22.858288,,,11803.05
200047,100026,credit_card,2023-09-11 20:02:22.859018,21.24,30000.0,24625.34
200048,100026,savings,2018-05-14 20:02:22.859211,,,17194.89
200049,100027,credit_card,2020-03-27 20:02:22.859778,18.46,20000.0,9964.79
200050,100028,loan,2023-09-13 20:02:22.860380,6.71,100000.0,44960.67
200051,100028,loan,2025-04-26 20:02:22.860669,6.6,50000.0,41479.15
200052,100029,credit_card,2017-12-18 20:02:22.861218,17.81,20000.0,15306.0
200053,100029,credit_card,2020-04-19 20:02:22.861481,15.09,30000.0,17661.74
200054,100030,savings,2023-07-06 20:02:22.861892,,,21118.52
200055,100030,credit_card,2025-05-16 20:02:22.862123,18.36,30000.0,9664.43
200056,100031,loan,2017-10-19 20:02:22.862591,10.05,100000.0,50596.36
200057,100032,loan,2025-11-09 20:02:22.863107,7.07,20000.0,9390.61
200058,100032,credit_card,2020-04-16 20:02:22.863495,20.05,30000.0,25170.16
200059,100032,credit_card,2023-08-27 20:02:22.863746,16.17,10000.0,7119.53
200060,100033,savings,2025-09-29 20:02:22.864214,,,9921.1
200061,100034,savings,2025-05-23 20:02:22.866663,,,26406.21
200062,100034,credit_card,2023-04-18 20:02:22.866974,20.37,5000.0,3690.01
200063,100035,credit_card,2020-02-19 20:02:22.867550,20.71,30000.0,19740.3
200064,100036,credit_card,2021-10-06 20:02:22.868029,21.69,20000.0,15856.95
200065,100037,credit_card,2021-12-16 20:02:22.868487,17.16,30000.0,12631.43
200066,100037,loan,2021-10-26 20:02:22.868763,7.78,50000.0,38134.67
200067,100038,credit_card,2023-12-04 20:02:22.869208,15.04,30000.0,23226.29
200068,100039,savings,2018-11-09 20:02:22.869557,,,35112.55
200069,100039,credit_card,2023-10-19 20:02:22.869772,16.86,20000.0,13509.98
200070,100040,loan,2020-06-01 20:02:22.870203,7.39,20000.0,12273.78
200071,100040,loan,2022-04-01 20:02:22.870432,7.56,50000.0,26943.9
200072,100041,credit_card,2019-04-09 20:02:22.870886,20.81,30000.0,7717.6
200073,100042,loan,2019-03-17 20:02:22.871309,11.72,100000.0,43375.21
200074,100043,savings,2021-08-30 20:02:22.871656,,,1244.09
200075,100043,savings,2020-06-05 20:02:22.871779,,,38321.13
200076,100044,savings,2022-08-05 20:02:22.872077,,,34921.28
200077,100044,credit_card,2022-07-22 20:02:22.872372,17.56,10000.0,2154.0
200078,100045,loan,2018-10-04 20:02:22.872830,11.3,20000.0,10655.95
200079,100046,savings,2018-10-18 20:02:22.873170,,,21464.1
200080,100047,credit_card,2018-07-01 20:02:22.873641,15.66,20000.0,16494.48
200081,100048,savings,2018-03-01 20:02:22.874047,,,11668.05
200082,100048,credit_card,2024-07-28 20:02:22.874513,15.57,30000.0,7233.65
200083,100048,credit_card,2025-11-06 20:02:22.874832,18.38,10000.0,4892.98
200084,100049,savings,2020-03-16 20:02:22.875275,,,45303.25
200085,100050,savings,2022-06-04 20:02:22.875632,,,21013.36
200086,100051,savings,2018-01-19 20:02:22.875956,,,10284.99
200087,100052,savings,2021-09-26 20:02:22.876248,,,29185.81
200088,100053,savings,2024-10-06 20:02:22.876544,,,27990.82
200089,100053,credit_card,2018-11-29 20:02:22.876777,21.31,20000.0,8597.17
200090,100054,credit_card,2023-06-14 20:02:22.877182,21.92,30000.0,10857.47
200091,100054,credit_card,2021-08-22 20:02:22.877396,16.91,10000.0,8659.82
200092,100055,savings,2025-06-15 20:02:22.877707,,,708.22
200093,100056,savings,2024-04-16 20:02:22.878022,,,17296.67
200094,100056,savings,2025-09-08 20:02:22.878163,,,48141.58
200095,100057,loan,2025-06-18 20:02:22.878572,7.57,20000.0,12986.88
200096,100057,savings,2019-04-22 20:02:22.878745,,,30231.51
200097,100057,credit_card,2022-03-26 20:02:22.878942,16.75,30000.0,26267.35
200098,100058,credit_card,2018-12-17 20:02:22.880350,16.6,10000.0,7022.02
200099,100058,credit_card,2020-03-24 20:02:22.880652,19.87,30000.0,24832.74
200100,100059,credit_card,2024-10-27 20:02:22.882368,18.62,5000.0,4100.19
200101,100060,credit_card,2021-09-25 20:02:22.883232,15.4,20000.0,11068.85
200102,100060,credit_card,2020-06-26 20:02:22.883560,19.58,20000.0,14551.08
200103,100061,credit_card,2019-07-18 20:02:22.884038,16.42,10000.0,5977.46
200104,100062,savings,2021-09-13 20:02:22.884375,,,32500.6
200105,100063,savings,2024-02-05 20:02:22.884679,,,34981.85
200106,100063,loan,2025-09-14 20:02:22.884882,11.4,20000.0,9040.01
200107,100064,loan,2018-09-06 20:02:22.885300,8.5,50000.0,20232.17
